@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050196
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0002071977779
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le            1.15e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le          26658.8832
@ ALFA             %le      0.000348297695
@ ORBIT5           %le                  -0
@ GAMMATR          %le          53.5827131
@ Q1               %le               62.31
@ Q2               %le               60.32
@ DQ1              %le         2.000004327
@ DQ2              %le         2.000004326
@ DXMAX            %le         2.861364348
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6010.066269
@ BETYMAX          %le          6010.06627
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.499110361
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %22s "Model creator for java"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "14/02/18"
@ TIME             %08s "18.57.29"
* NAME                                S                  L KEYWORD            PARENT                            K1L 
 "MQM.A5R2.B1"                  361.952                3.4 "QUADRUPOLE"        "MQM"                   -0.01454167337
 "MQM.B5R2.B1"                  365.733                3.4 "QUADRUPOLE"        "MQM"                   -0.01454167337
 "BPMR.5R2.B1"                  366.522                  0 "MONITOR"           "BPMR"                               0
 "MQML.6R2.B1"                  435.304                4.8 "QUADRUPOLE"        "MQML"                   0.02050488801
 "MQM.6R2.B1"                   439.071                3.4 "QUADRUPOLE"        "MQM"                    0.01452429567
 "BPM.6R2.B1"                   439.818                  0 "MONITOR"           "BPM"                                0
 "BPM_A.7R2.B1"                 452.693                  0 "MONITOR"           "BPM_A"                              0
 "MQM.A7R2.B1"                  456.838                3.4 "QUADRUPOLE"        "MQM"                   -0.02182436231
 "MQM.B7R2.B1"                  460.605                3.4 "QUADRUPOLE"        "MQM"                   -0.02182436231
 "S.DS.R2.B1"                   462.338                  0 "MARKER"            "OMK"                                0
 "BPM.8R2.B1"               494.1300106                  0 "MONITOR"           "BPM"                                0
 "MQML.8R2.B1"              499.6750106                4.8 "QUADRUPOLE"        "MQML"                   0.03189939922
 "BPM.9R2.B1"               533.1950212                  0 "MONITOR"           "BPM"                                0
 "MQMC.9R2.B1"              536.3710212                2.4 "QUADRUPOLE"        "MQMC"                  -0.01455956709
 "MQM.9R2.B1"               540.1370212                3.4 "QUADRUPOLE"        "MQM"                   -0.02062605338
 "BPM.10R2.B1"              573.6580318                  0 "MONITOR"           "BPM"                                0
 "MQML.10R2.B1"             579.2030318                4.8 "QUADRUPOLE"        "MQML"                   0.03525980367
 "BPM.11R2.B1"              625.4967424                  0 "MONITOR"           "BPM"                                0
 "MQ.11R2.B1"               629.5937424                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "MQTLI.11R2.B1"            631.0627424                1.3 "QUADRUPOLE"        "MQTLI"                -0.003384358233
 "S.ARC.23.B1"              632.7687424                  0 "MARKER"            "OMK"                                0
 "BPM.12R2.B1"              680.2202583                  0 "MONITOR"           "BPM"                                0
 "MQT.12R2.B1"              681.1342583               0.32 "QUADRUPOLE"        "MQT"                 -4.140757311e-06
 "MQ.12R2.B1"               684.5322583                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.13R2.B1"              733.6687742                  0 "MONITOR"           "BPM"                                0
 "MQT.13R2.B1"              734.5827742               0.32 "QUADRUPOLE"        "MQT"                  -0.000678156725
 "MQ.13R2.B1"               737.9807742                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "E.DS.R2.B1"               739.6657742                  0 "MARKER"            "OMK"                                0
 "BPM.14R2.B1"              787.1172901                  0 "MONITOR"           "BPM"                                0
 "MQT.14R2.B1"              788.0312901               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.14R2.B1"               791.4292901                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.15R2.B1"               840.565806                  0 "MONITOR"           "BPM"                                0
 "MQT.15R2.B1"               841.479806               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.15R2.B1"                844.877806                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.16R2.B1"              894.0143219                  0 "MONITOR"           "BPM"                                0
 "MQT.16R2.B1"              894.9283219               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.16R2.B1"               898.3263219                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.17R2.B1"              947.4628378                  0 "MONITOR"           "BPM"                                0
 "MQT.17R2.B1"              948.3768378               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.17R2.B1"               951.7748378                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.18R2.B1"              1000.911354                  0 "MONITOR"           "BPM"                                0
 "MQT.18R2.B1"              1001.825354               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.18R2.B1"               1005.223354                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.19R2.B1"               1054.35987                  0 "MONITOR"           "BPM"                                0
 "MQT.19R2.B1"               1055.27387               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.19R2.B1"                1058.67187                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.20R2.B1"              1107.808386                  0 "MONITOR"           "BPM"                                0
 "MQT.20R2.B1"              1108.722386               0.32 "QUADRUPOLE"        "MQT"                 -0.0002470371984
 "MQ.20R2.B1"               1112.120386                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.21R2.B1"              1161.256901                  0 "MONITOR"           "BPM"                                0
 "MQT.21R2.B1"              1162.170901               0.32 "QUADRUPOLE"        "MQT"                  0.0002930435295
 "MQ.21R2.B1"               1165.568901                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.22R2.B1"              1214.705417                  0 "MONITOR"           "BPM"                                0
 "MQ.22R2.B1"               1219.017417                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.23R2.B1"              1268.153933                  0 "MONITOR"           "BPM"                                0
 "MQS.23R2.B1"              1269.067933               0.32 "QUADRUPOLE"        "MQS"                                0
 "MQ.23R2.B1"               1272.465933                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.24R2.B1"              1321.602449                  0 "MONITOR"           "BPM"                                0
 "MQ.24R2.B1"               1325.914449                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.25R2.B1"              1375.050965                  0 "MONITOR"           "BPM"                                0
 "MQ.25R2.B1"               1379.362965                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.26R2.B1"              1428.499481                  0 "MONITOR"           "BPM"                                0
 "MQ.26R2.B1"               1432.811481                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.27R2.B1"              1481.947997                  0 "MONITOR"           "BPM"                                0
 "MQS.27R2.B1"              1482.861997               0.32 "QUADRUPOLE"        "MQS"                                0
 "MQ.27R2.B1"               1486.259997                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.28R2.B1"              1535.396513                  0 "MONITOR"           "BPM"                                0
 "MQ.28R2.B1"               1539.708513                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.29R2.B1"              1588.845029                  0 "MONITOR"           "BPM"                                0
 "MQ.29R2.B1"               1593.157029                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "BPM.30R2.B1"              1642.293545                  0 "MONITOR"           "BPM"                                0
 "MQ.30R2.B1"               1646.605545                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.31R2.B1"               1695.74206                  0 "MONITOR"           "BPM"                                0
 "MQ.31R2.B1"                1700.05406                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
 "S.CELL.23.B1"              1701.73906                  0 "MARKER"            "OMK"                                0
 "BPM.32R2.B1"              1749.190576                  0 "MONITOR"           "BPM"                                0
 "MQ.32R2.B1"               1753.502576                3.1 "QUADRUPOLE"        "MQ"                     0.02709411601
 "BPM.33R2.B1"              1802.639092                  0 "MONITOR"           "BPM"                                0
 "MQ.33R2.B1"               1806.951092                3.1 "QUADRUPOLE"        "MQ"                    -0.02651595567
