@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "RING"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                   1
@ ENERGY           %le                   6
@ PC               %le         5.999999978
@ GAMMA            %le         11741.70761
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le         2303.952493
@ ALFA             %le      0.001114296425
@ ORBIT5           %le     -0.006017948859
@ GAMMATR          %le          29.9570905
@ Q1               %le         37.12461804
@ Q2               %le         30.27566223
@ DQ1              %le       -0.2120981648
@ DQ2              %le       0.05378600321
@ DXMAX            %le        0.8325685252
@ DYMAX            %le      1.09818512e-18
@ XCOMAX           %le     0.0001035638659
@ YCOMAX           %le     3.330694683e-20
@ BETXMAX          %le         43.99294136
@ BETYMAX          %le          43.0555466
@ XCORMS           %le     2.732519699e-05
@ YCORMS           %le     1.158919948e-20
@ DXRMS            %le        0.3570294274
@ DYRMS            %le     4.327647642e-19
@ DELTAP           %le                   0
@ SYNCH_1          %le         2.597823394
@ SYNCH_2          %le       0.06908178623
@ SYNCH_3          %le       0.00175823878
@ SYNCH_4          %le    -7.203611504e-06
@ SYNCH_5          %le     6.654917665e-06
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.02.12 Linux 64"
@ DATE             %08s "21/06/19"
@ TIME             %08s "12.45.34"
* NAME                                S               BETX               BETY                MUX                MUY KEYWORD            
$ %s                                %le                %le                %le                %le                %le %s                 
 "DRIFT_17"                       53.35        22.91459181        10.04118598       0.6705081188       0.4718965507 "DRIFT"            
 "BEAMDUMP"                       53.35        22.91459181        10.04118598       0.6705081188       0.4718965507 "ECOLLIMATOR"      
 "DRIFT_18"                     53.6456        24.49296236        9.301152342       0.6724939011       0.4767651488 "DRIFT"            
 "Q2A"                          54.3484        25.10759218        8.844716917       0.6769076314        0.489378727 "QUADRUPOLE"       
 "DRIFT_16"                      54.582        24.23720414        9.102671403       0.6784146831       0.4935224254 "DRIFT"            
 "D"                              59.96          9.6690869        19.42064399       0.7355344281       0.5597929535 "SBEND"            
 "DRIFT_14"                      60.334        9.045644098        20.44976057       0.7419004448       0.5627798075 "DRIFT"            
 "SDUA"                          60.477        8.820666442        20.85397706       0.7444483131       0.5638818385 "SEXTUPOLE"        
 "PKVSU_SWR_60"                  60.477        8.820666442        20.85397706       0.7444483131       0.5638818385 "VKICKER"          
 "SDUA"                           60.62        8.603100187        21.26412971       0.7470608966       0.5649625604 "SEXTUPOLE"        
 "DRIFT_15"                     60.7665        8.387894603        21.69047694       0.7498056164       0.5660481745 "DRIFT"            
 "BPM_SWR_61"                   60.7665        8.387894603        21.69047694       0.7498056164       0.5660481745 "MONITOR"          
 "DRIFT_11"                     60.8456        8.274932082        21.92326545       0.7513166257       0.5666254499 "DRIFT"            
 "QK3"                          61.5484        8.211259636        21.68136794       0.7651437728       0.5716662368 "QUADRUPOLE"       
 "DRIFT_16"                      61.782        8.506844419        20.84688237       0.7695924725       0.5734149175 "DRIFT"            
 "DKA"                           64.471        13.22791404        12.78348946       0.8103777469       0.5997492307 "SBEND"            
 "PKDK_SWR_64"                   64.471        13.22791404        12.78348946       0.8103777469       0.5997492307 "HKICKER"          
 "DKB"                            67.16        20.36611722        7.573872541       0.8365675118        0.643800611 "SBEND"            
 "DRIFT_14"                      67.534         21.5513405        7.074954073       0.8394086767       0.6519351496 "DRIFT"            
 "S4"                             67.82        22.48907098        6.730771875       0.8414761865       0.6585328107 "SEXTUPOLE"        
 "DRIFT_19"                     68.0456         23.2478963        6.482120197       0.8430464104       0.6639693885 "DRIFT"            
 "Q4A"                          68.7484        23.06722415        6.527840523       0.8477884192        0.681517886 "QUADRUPOLE"       
 "DRIFT_16"                      68.982        22.16836784        6.817743399       0.8494324466       0.6870916625 "DRIFT"            
 "D"                              74.36        7.749613785        19.75010197       0.9167086663       0.7637832948 "SBEND"            
 "DRIFT_14"                      74.734        7.193926615        21.09480431       0.9246835351       0.7666994908 "DRIFT"            
 "S3A"                           74.877        6.996846445         21.6242216       0.9278914636        0.767765042 "SEXTUPOLE"        
 "PKVSX_SWR_75"                  74.877        6.996846445         21.6242216       0.9278914636        0.767765042 "VKICKER"          
 "S3A"                            75.02        6.808305063        22.16199698       0.9311890019       0.7688046209 "SEXTUPOLE"        
 "DRIFT_15"                     75.1665        6.623982708        22.72166026       0.9346610538       0.7698436063 "DRIFT"            
 "BPM_SWR_75"                   75.1665        6.623982708        22.72166026       0.9346610538       0.7698436063 "MONITOR"          
 "DRIFT_11"                     75.2456        6.528170047        23.02753667       0.9365754192       0.7703939409 "DRIFT"            
 "QD"                           75.9484        6.532215661        23.02078548       0.9540787966       0.7751570565 "QUADRUPOLE"       
 "DRIFT_16"                      76.182        6.825520777        22.12071921       0.9596475313       0.7768045136 "DRIFT"            
 "DKA"                           78.871        11.84425876        13.39388172        1.007980577       0.8017684788 "SBEND"            
 "PKDK_SWR_79"                   78.871        11.84425876        13.39388172        1.007980577       0.8017684788 "HKICKER"          
 "DKB"                            81.56        19.87720343        7.690072562        1.036014671        0.844444368 "SBEND"            
 "DRIFT_14"                      81.934        21.23411131        7.135821847        1.038911977       0.8524826355 "DRIFT"            
 "S2"                             82.22         22.3109164        6.751539801        1.041003176       0.8590419702 "SEXTUPOLE"        
 "DRIFT_19"                     82.4456        23.18420361        6.472609895        1.042581822       0.8644741696 "DRIFT"            
 "QF"                           83.1484        23.18042478        6.475395808        1.047312354       0.8821303983 "QUADRUPOLE"       
 "DRIFT_16"                      83.382        22.27419752        6.766568798        1.048948462       0.8877478457 "DRIFT"            
 "D"                              88.76        7.736482405        19.79270519        1.116115073       0.9646638258 "SBEND"            
 "DRIFT_14"                      89.134        7.176136705        21.14852389        1.124106616       0.9675731813 "DRIFT"            
 "S1A"                           89.277        6.977400722        21.68234564        1.127322995       0.9686359518 "SEXTUPOLE"        
 "PKVSX_SWR_89"                  89.277        6.977400722        21.68234564        1.127322995       0.9686359518 "VKICKER"          
 "S1A"                            89.42        6.787274425        22.22460504        1.130630241       0.9696726739 "SEXTUPOLE"        
 "DRIFT_15"                     89.5665        6.601400629        22.78894828        1.134113616       0.9707086629 "DRIFT"            
 "BPM_SWR_90"                   89.5665        6.601400629        22.78894828        1.134113616       0.9707086629 "MONITOR"          
 "DRIFT_11"                     89.6456        6.504780225        23.09738947        1.136034699       0.9712573533 "DRIFT"            
 "QD"                           90.3484        6.499147329        23.10482414        1.153614396       0.9760046032 "QUADRUPOLE"       
 "DRIFT_16"                      90.582        6.788085428         22.2061291        1.159212671       0.9776458972 "DRIFT"            
 "DKA"                           93.271        11.75146922        13.48498203        1.207880275        1.002476438 "SBEND"            
 "PKDK_SWR_93"                   93.271        11.75146922        13.48498203        1.207880275        1.002476438 "HKICKER"          
 "DKB"                            95.96        19.71976068        7.768350937        1.236139346        1.044784393 "SBEND"            
 "DRIFT_14"                      96.334        21.06693289        7.210846246        1.239059719        1.052740283 "DRIFT"            
 "S4"                             96.62        22.13615369        6.823841345        1.241167473        1.059230714 "SEXTUPOLE"        
 "DRIFT_19"                     96.8456        23.00336892        6.542621076        1.242758557        1.064605053 "DRIFT"            
 "QF"                           97.5484        23.00234627        6.545455472        1.247526009        1.082071571 "QUADRUPOLE"       
 "DRIFT_16"                      97.782        22.10412812        6.839031773        1.249174747        1.087629176 "DRIFT"            
 "D"                             103.16        7.710996849        19.88201783        1.316734469        1.163915417 "SBEND"            
 "DRIFT_14"                     103.534        7.157871279        21.23626443        1.324749441        1.166812229 "DRIFT"            
 "S3A"                          103.677        6.961799486        21.76938743        1.327973532         1.16787068 "SEXTUPOLE"        
 "PKVSX_SWR_104"                103.677        6.961799486        21.76938743        1.327973532         1.16787068 "VKICKER"          
 "S3A"                           103.82        6.774285406        22.31088884        1.331287659        1.168903326 "SEXTUPOLE"        
 "DRIFT_15"                    103.9665        6.591032743        22.87439772        1.334777116        1.169935378 "DRIFT"            
 "BPM_SWR_104"                 103.9665        6.591032743        22.87439772        1.334777116        1.169935378 "MONITOR"          
 "DRIFT_11"                    104.0456        6.495804008        23.18236555         1.33670104        1.170482038 "DRIFT"            
 "QD"                          104.7484        6.501672765        23.17556119        1.354289514        1.175213342 "QUADRUPOLE"       
 "DRIFT_16"                     104.982        6.794549655        22.26931569        1.359884041        1.176849804 "DRIFT"            
 "DKA"                          107.671         11.8145937        13.47804015         1.40839347        1.201651263 "SBEND"            
 "PKDK_SWR_108"                 107.671         11.8145937        13.47804015         1.40839347        1.201651263 "HKICKER"          
 "DKB"                           110.36        19.86033942        7.722217053        1.436475198        1.244099714 "SBEND"            
 "DRIFT_14"                     110.734        21.21993692        7.161714576        1.439374706        1.252106708 "DRIFT"            
 "S2"                            111.02        22.29892889        6.772820698        1.441467169         1.25864388 "SEXTUPOLE"        
 "DRIFT_19"                    111.2456        23.17401599        6.490356925         1.44304659        1.264060122 "DRIFT"            
 "QF"                          111.9484        23.17705357        6.484020015        1.447778514         1.28168035 "QUADRUPOLE"       
 "DRIFT_16"                     112.182        22.27322539        6.772431647         1.44941478        1.287291637 "DRIFT"            
 "D"                             117.56        7.764924151        19.69469542        1.516452105        1.364379129 "SBEND"            
 "DRIFT_14"                     117.934        7.204784189        21.04042384        1.524413112        1.367303204 "DRIFT"            
 "S1A"                          118.077        7.006063867        21.57028881        1.527616521        1.368371468 "SEXTUPOLE"        
 "PKVSX_SWR_118"                118.077        7.006063867        21.57028881        1.527616521        1.368371468 "VKICKER"          
 "S1A"                           118.22        6.815918639        22.10853682        1.530910057        1.369413606 "SEXTUPOLE"        
 "DRIFT_15"                    118.3665        6.629989317        22.66871403        1.534378605        1.370455064 "DRIFT"            
 "BPM_SWR_118"                 118.3665        6.629989317        22.66871403        1.534378605        1.370455064 "MONITOR"          
 "DRIFT_11"                    118.4456        6.533323661        22.97488205        1.536291354        1.371006673 "DRIFT"            
 "QD"                          119.1484        6.530286031        22.97693052        1.553790441        1.375779808 "QUADRUPOLE"       
 "DRIFT_16"                     119.382        6.821153767         22.0815331        1.559361797        1.377430303 "DRIFT"            
 "DKA"                          122.071        11.80492741        13.39807071        1.607793994        1.402412721 "SBEND"            
 "PKDK_SWR_122"                 122.071        11.80492741        13.39807071        1.607793994        1.402412721 "HKICKER"          
 "DKB"                           124.76        19.79022028        7.718526674        1.635937611        1.445001233 "SBEND"            
 "DRIFT_14"                     125.134        21.13949219        7.166135452        1.638847778        1.453007676 "DRIFT"            
 "S4"                            125.42        22.21029764        6.783024823          1.6409484        1.459537915 "SEXTUPOLE"        
 "DRIFT_19"                    125.6456        23.07875567         6.50486562        1.642534233        1.464944043 "DRIFT"            
 "QF"                          126.3484        23.07256843        6.513324995        1.647286647        1.482504744 "QUADRUPOLE"       
 "DRIFT_16"                     126.582        22.16983432        6.807691397        1.648930435         1.48808887 "DRIFT"            
 "D"                             131.96        7.703580924          19.908558         1.71641818        1.564510194 "SBEND"            
 "DRIFT_14"                     132.334        7.147567607        21.26965565        1.724442808        1.567402806 "DRIFT"            
 "S3A"                          132.477        6.950464234        21.80550425        1.727671858        1.568459552 "SEXTUPOLE"        
 "PKVSX_SWR_132"                132.477        6.950464234        21.80550425        1.727671858        1.568459552 "VKICKER"          
 "S3A"                           132.62        6.761954606        22.34980355        1.730991716        1.569490445 "SEXTUPOLE"        
 "DRIFT_15"                    132.7665        6.577722694        22.91624472        1.734487893        1.570520658 "DRIFT"            
 "BPM_SWR_133"                 132.7665        6.577722694        22.91624472        1.734487893        1.570520658 "MONITOR"          
 "DRIFT_11"                    132.8456        6.481983602        23.22581961        1.736415818        1.571066308 "DRIFT"            
 "QD"                          133.5484        6.481838918        23.22793794        1.754050169        1.575787857 "QUADRUPOLE"       
 "DRIFT_20"                     134.434        7.702757518        19.91618325        1.774048955        1.582342466 "DRIFT"            
 "DKA"                          137.123         13.4223323        11.86167291        1.816641211        1.610329065 "SBEND"            
 "PKDK_WL_151"                  137.123         13.4223323        11.86167291        1.816641211        1.610329065 "HKICKER"          
 "DKB"                          139.812        22.16099438        6.830651664          1.8415549         1.65860859 "SBEND"            
 "DRIFT_16"                    140.0456        23.06327142        6.536104335        1.843199349        1.664173597 "DRIFT"            
 "QF"                          140.7484        23.06919535        6.529422611        1.847953711        1.681670432 "QUADRUPOLE"       
 "DRIFT_19"                     140.974        22.20101982        6.808965485        1.849540205        1.687056093 "DRIFT"            
 "S2"                            141.26        21.13059612        7.193789924        1.851641711        1.693561331 "SEXTUPOLE"        
 "DRIFT_14"                     141.634         19.7818497        7.748356309        1.854553108        1.701536955 "DRIFT"            
 "D"                            147.012        6.819220529        22.13569275        1.931158389        1.768881527 "SBEND"            
 "DRIFT_16"                    147.2456        6.528585276        23.03185194        1.936731271        1.770528038 "DRIFT"            
 "QD"                          147.9484         6.53214594        23.02551571        1.954234263        1.775290239 "QUADRUPOLE"       
 "DRIFT_11"                    148.0275        6.628856446        22.71817219        1.956147351        1.775840642 "DRIFT"            
 "BPM_WL_140"                  148.0275        6.628856446        22.71817219        1.956147351        1.775840642 "MONITOR"          
 "DRIFT_15"                     148.174        6.814871804        22.15584447        1.959616468        1.776879856 "DRIFT"            
 "S1A"                          148.317        7.005101465        21.61554079        1.962910489        1.777919793 "SEXTUPOLE"        
 "PKVSX_WL_140"                 148.317        7.005101465        21.61554079        1.962910489        1.777919793 "VKICKER"          
 "S1A"                           148.46        7.203903032         21.0836729         1.96611432        1.778985844 "SEXTUPOLE"        
 "DRIFT_14"                     148.834        7.764262168        19.73288377        1.974076168        1.781904096 "DRIFT"            
 "DKA"                          151.523        13.51456841        11.73532575        2.016346784        1.810174328 "SBEND"            
 "PKDK_WL_136"                  151.523        13.51456841        11.73532575        2.016346784        1.810174328 "HKICKER"          
 "DKB"                          154.212        22.27822149        6.761993301        2.041108692        1.858975249 "SBEND"            
 "DRIFT_16"                    154.4456        23.18240207        6.472494573        2.042744591        1.864595882 "DRIFT"            
 "QF"                          155.1484        23.17977639         6.47441637        2.047475393         1.88225369 "QUADRUPOLE"       
 "DRIFT_19"                     155.374        22.30459768        6.754928873        2.049054421        1.887683793 "DRIFT"            
 "S4"                            155.66        21.22553286        7.141293199        2.051146348        1.894238995 "SEXTUPOLE"        
 "DRIFT_14"                     156.034        19.86588926        7.698397284        2.054045077        1.902269866 "DRIFT"            
 "D"                            161.412        6.798020207        22.18774607        2.130603668        1.969762326 "SBEND"            
 "DRIFT_16"                    161.6456        6.504993127        23.09110919        2.136195358        1.971404795 "DRIFT"            
 "QD"                          162.3484         6.49901675         23.0993439        2.153775024        1.976153275 "QUADRUPOLE"       
 "DRIFT_11"                    162.4275        6.594271559        22.79266258        2.155698006          1.9767019 "DRIFT"            
 "BPM_WL_126"                  162.4275        6.594271559        22.79266258        2.155698006          1.9767019 "MONITOR"          
 "DRIFT_15"                     162.574         6.77757016        22.23151561        2.159185774        1.977737648 "DRIFT"            
 "S3A"                          162.717        6.965123616        21.69230183        2.162498318        1.978773975 "SEXTUPOLE"        
 "PKVSX_WL_125"                 162.717        6.965123616        21.69230183        2.162498318        1.978773975 "VKICKER"          
 "S3A"                           162.86        7.161226663        21.16145663        2.165720895        1.979836182 "SEXTUPOLE"        
 "DRIFT_14"                     163.234        7.714412208        19.81306281         2.17373224        1.982743166 "DRIFT"            
 "DKA"                          165.923        13.40800721        11.82140683        2.216314885        2.010851566 "SBEND"            
 "PKDK_WL_122"                  165.923        13.40800721        11.82140683        2.216314885        2.010851566 "HKICKER"          
 "DKB"                          168.612        22.10600107         6.83415634        2.241273278         2.05920316 "SBEND"            
 "DRIFT_16"                    168.8456        23.00405059        6.542510406        2.242921892        2.064764024 "DRIFT"            
 "QF"                          169.5484        23.00434996         6.54514392        2.247689087        2.082231187 "QUADRUPOLE"       
 "DRIFT_19"                     169.774        22.13686073        6.828216123        2.249280119        2.087602792 "DRIFT"            
 "S2"                            170.06        21.06732345        7.217660201         2.25138783        2.094088105 "SEXTUPOLE"        
 "DRIFT_14"                     170.434        19.71978061        7.778510306        2.254308187        2.102035071 "DRIFT"            
 "D"                            175.812        6.785431321        22.28476135        2.331251564        2.169001254 "SBEND"            
 "DRIFT_16"                    176.0456        6.496489784        23.18729149        2.336852109        2.170636742 "DRIFT"            
 "QD"                          176.7484         6.50184756        23.18150553        2.354439494        2.175366957 "QUADRUPOLE"       
 "DRIFT_11"                    176.8275        6.598403303        22.87211156        2.356361457        2.175913657 "DRIFT"            
 "BPM_WL_111"                  176.8275        6.598403303        22.87211156        2.356361457        2.175913657 "MONITOR"          
 "DRIFT_15"                     176.974        6.784158012        22.30601233        2.359846442        2.176945878 "DRIFT"            
 "S1A"                          177.117        6.974168973        21.76204927        2.363155232        2.177978815 "SEXTUPOLE"        
 "PKVSX_WL_111"                 177.117        6.974168973        21.76204927        2.363155232        2.177978815 "VKICKER"          
 "S1A"                           177.26        7.172790643        21.22653348        2.366373124        2.179037692 "SEXTUPOLE"        
 "DRIFT_14"                     177.634         7.73284165        19.86633347        2.374368457        2.181936325 "DRIFT"            
 "DKA"                          180.323        13.48747565        11.80779102        2.416770582        2.210022992 "SBEND"            
 "PKDK_WL_108"                  180.323        13.48747565        11.80779102        2.416770582        2.210022992 "HKICKER"          
 "DKB"                          183.012        22.26696394        6.785296214        2.441563913        2.258582863 "SBEND"            
 "DRIFT_16"                    183.2456        23.17306266        6.492084033        2.443200558        2.264185367 "DRIFT"            
 "QF"                          183.9484        23.17732011        6.484913696        2.447932572        2.281802102 "QUADRUPOLE"       
 "DRIFT_19"                     184.174        22.30444617        6.762833604        2.449511692        2.287224643 "DRIFT"            
 "S4"                            184.46        21.22814104        7.145723358        2.451603501        2.293773992 "SEXTUPOLE"        
 "DRIFT_14"                     184.834        19.87185177        7.697963719        2.454501622        2.301802612 "DRIFT"            
 "D"                            190.212        6.826341293        22.07539491        2.530875489         2.36947989 "SBEND"            
 "DRIFT_16"                    190.4456        6.533189212        22.97212179        2.536443513        2.371130795 "DRIFT"            
 "QD"                          191.1484        6.529706298        22.97463555        2.553943642        2.375904476 "QUADRUPOLE"       
 "DRIFT_11"                    191.2275        6.625600684           22.66899        2.555857562        2.376456087 "DRIFT"            
 "BPM_WL_97"                   191.2275        6.625600684           22.66899        2.555857562        2.376456087 "MONITOR"          
 "DRIFT_15"                     191.374         6.81007597        22.10976198        2.559328763        2.377497515 "DRIFT"            
 "S3A"                          191.517        6.998768785        21.57242064        2.562625443        2.378539577 "SEXTUPOLE"        
 "PKVSX_WL_96"                  191.517        6.998768785        21.57242064        2.562625443        2.378539577 "VKICKER"          
 "S3A"                           191.66        7.196002688        21.04344618        2.565832491        2.379607716 "SEXTUPOLE"        
 "DRIFT_14"                     192.034        7.752101621        19.69994635        2.573804984        2.382531204 "DRIFT"            
 "DKA"                          194.723        13.46470559        11.74369174        2.616189822        2.410815201 "SBEND"            
 "PKDK_WL_93"                   194.723        13.46470559        11.74369174        2.616189822        2.410815201 "HKICKER"          
 "DKB"                          197.412        22.17826914          6.7921386        2.641054277        2.459486415 "SBEND"            
 "DRIFT_16"                    197.6456        23.07751109        6.503609117        2.642697584        2.465081134 "DRIFT"            
 "QF"                          198.3484        23.07259117        6.511591825        2.647450145        2.482645965 "QUADRUPOLE"       
 "DRIFT_19"                     198.574        22.20079737        6.795288632        2.649036536        2.488044443 "DRIFT"            
 "S2"                            198.86        21.12597214        7.185708183         2.65113829        2.494559915 "SEXTUPOLE"        
 "DRIFT_14"                     199.234        19.77178936        7.748145486        2.654050757        2.502540164 "DRIFT"            
 "D"                            204.612        6.773065486        22.31744676        2.730960456        2.569593626 "SBEND"            
 "DRIFT_16"                    204.8456        6.482645145        23.22441801        2.736572108        2.571226612 "DRIFT"            
 "Q3"                          205.5484        6.434329175        23.40051399        2.754249058        2.575936752 "QUADRUPOLE"       
 "DRIFT_11"                    205.6275        6.518768215        23.12875427        2.756192849        2.576477861 "DRIFT"            
 "BPM_WL_82"                   205.6275        6.518768215        23.12875427        2.756192849        2.576477861 "MONITOR"          
 "DRIFT_15"                     205.774        6.681713234         22.6310446        2.759725846        2.577496943 "DRIFT"            
 "S1A"                          205.917        6.848993783        22.15220466        2.763090249        2.578513366 "SEXTUPOLE"        
 "PKVSX_WL_82"                  205.917        6.848993783        22.15220466        2.763090249        2.578513366 "VKICKER"          
 "S1A"                           206.06        7.024420296        21.68020982        2.766371542         2.57955184 "SEXTUPOLE"        
 "DRIFT_14"                     206.434        7.521636675        20.47848529        2.774563707        2.582376788 "DRIFT"            
 "DKA"                          209.123        12.73246552        13.23149946        2.818861577        2.608491467 "SBEND"            
 "PKDK_WL_79"                   209.123        12.73246552        13.23149946        2.818861577        2.608491467 "HKICKER"          
 "DKB"                          211.812        20.80701213        8.445279932        2.845273965        2.649424566 "SBEND"            
 "DRIFT_16"                    212.0456        21.64422776        8.145378043        2.847025838        2.653907522 "DRIFT"            
 "Q2B"                         212.7484        21.41629785        8.372717524        2.852111313        2.667760291 "QUADRUPOLE"       
 "DRIFT_21"                    212.9583        20.53536949        8.785502404         2.85370423        2.671655548 "DRIFT"            
 "QS_W1"                       213.2825         19.2193468        9.462774559         2.85630145         2.67731545 "QUADRUPOLE"       
 "DRIFT_22"                     213.634        17.85369592        10.25154255        2.859321505        2.682996264 "DRIFT"            
